question,answer
"จองยังไง","กดปุ่ม จองห้องพัก ในเมนูด้านล่างได้เลยค่ะ ระบบจะให้เลือกวันเข้าพัก วันรับกลับ จำนวนแมว และประเภทห้อง แล้วแจ้งยอดรวมพร้อมค่ามัดจำค่ะ"
"มัดจำเท่าไหร่","มัดจำ 50% ของยอดจองค่ะ ต้องชำระภายในเวลา 24:00 น. ของวันที่ทำรายการจอง หากเลยกำหนดระบบจะปล่อยห้องคืนอัตโนมัติ ส่วนที่เหลืออีก 50% ชำระในวันเช็กอินค่ะ"
"ชำระเงินยังไง","ชำระผ่านพร้อมเพย์ได้ค่ะ ชื่อบัญชี บริษัท เลิฟเพ็ท โกลบอลพลัส จำกัด หมายเลข KPS004KB000002201754 · โอนแล้วรบกวนอัปโหลดสลิปในหน้าจอง ทีมงานจะตรวจสอบและยืนยันการจองให้ค่ะ"
"จองแล้วได้ห้องเลยไหม","หลังชำระมัดจำและส่งสลิปแล้ว ทีมงานจะตรวจสอบก่อนค่ะ เมื่อยืนยันเรียบร้อยระบบจะส่งข้อความยืนยันการจองมาให้ทาง LINE ค่ะ"
"ยกเลิกหรือขอเงินคืนได้ไหม","กรณีต้องการยกเลิกหรือขอคืนเงิน รบกวนแจ้งทีมงานค่ะ ทางเราพิจารณาเป็นรายกรณีและจะติดต่อกลับ ระบบไม่ได้อนุมัติคืนเงินอัตโนมัติค่ะ"
"ต้องฉีดวัคซีนไหม","น้องแมวต้องได้รับวัคซีนอย่างน้อย 1 เข็มค่ะ และต้องป้องกันเห็บหมัดเป็นประจำทุกเดือนด้วยค่ะ"
"เงื่อนไขการรับฝากมีอะไรบ้าง","เงื่อนไขการเข้าพักค่ะ · ได้รับวัคซีนอย่างน้อย 1 เข็ม · ป้องกันเห็บหมัดเป็นประจำทุกเดือน · อาบน้ำหรือทำความสะอาดก่อนเข้าพัก · ไม่มีเห็บหรือหมัด · ไม่มีโรคที่แพร่เชื้อสู่แมวตัวอื่น · กรณีน้องป่วยแบบไม่ติดต่อหรือต้องให้ยา รบกวนแจ้งทีมงานเพื่อประเมินก่อนค่ะ"
"แมวป่วยฝากได้ไหม","หากเป็นโรคที่แพร่เชื้อสู่แมวตัวอื่น หรือมีเห็บหมัด ทางเราขอไม่รับฝากค่ะ กรณีป่วยแบบไม่ติดต่อหรือต้องให้ยา รบกวนแจ้งรายละเอียดกับทีมงานเพื่อประเมินก่อนค่ะ"
"ต้องเตรียมเอกสารอะไรบ้าง","เอกสารสุขภาพหรือสมุดวัคซีนค่ะ สามารถข้ามในขั้นตอนจองได้ แล้วส่งภายหลังผ่านเมนู ส่งเอกสารสุขภาพ ค่ะ ระบบจะแจ้งเตือนก่อนวันเข้าพัก 1 วัน หากถึงวันเข้าพักแล้วยังไม่ครบ พนักงานจะสอบถามและพิจารณาหน้างานค่ะ"
"ต้องเตรียมของอะไรมาบ้าง","หากเลือกแพ็กเกจ 150 บาท รบกวนเตรียมอาหารและทรายเต้าหู้มาเองค่ะ หากเลือกแพ็กเกจ 250 บาท ทางโรงแรมจัดอาหาร น้ำ และทรายให้ครบค่ะ และรบกวนแจ้งข้อมูลคลินิกหรือโรงพยาบาลสัตว์ประจำของน้องไว้ด้วยค่ะ"
"ดูแลน้องยังไงบ้าง","ทีมงานดูแลเรื่องอาหาร น้ำ ทำความสะอาดห้อง และสังเกตอาการน้องทุกวันค่ะ พร้อมบันทึกข้อมูลการดูแลไว้ให้เจ้าของค่ะ"
"น้องป่วยระหว่างเข้าพักทำยังไง","ทีมงานจะติดต่อเจ้าของทันทีค่ะ และหากเจ้าของได้แจ้งคลินิกหรือโรงพยาบาลสัตว์ประจำไว้ ทางเราจะประสานตามที่แจ้งค่ะ กรณีฉุกเฉินและติดต่อเจ้าของไม่ได้ ทางเราจะดำเนินการตามความยินยอมที่เจ้าของให้ไว้ตอนจองค่ะ"
"ฝากระยะยาวเป็นเดือนได้ไหม","กรณีฝากระยะยาว รบกวนติดต่อทีมงานที่ 083-917-8794 เพื่อสอบถามรายละเอียดและราคาค่ะ"
"ติดต่อยังไง","โทร 083-917-8794 หรือพิมพ์ทักในแชทนี้ได้เลยค่ะ ทีมงานจะตอบกลับในเวลาทำการ 08:30 - 18:00 น. ค่ะ"
